"","year","category","winner","entity"
"162",1930,"SCIENTIFIC OR TECHNICAL AWARD (Class II)","True","To FOX FILM CORP. for effective use of synchro-projection composite photography."
"163",1930,"SCIENTIFIC OR TECHNICAL AWARD (Class III)","True","To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters."
"164",1930,"SCIENTIFIC OR TECHNICAL AWARD (Class III)","True","To RKO RADIO PICTURES, INC. for reflex type microphone concentrators."
"165",1930,"SCIENTIFIC OR TECHNICAL AWARD (Class III)","True","To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters."
"166",1931,"ACTOR","True","Wallace Beery"
"167",1931,"ACTOR","False","Alfred Lunt"
"168",1931,"ACTOR","True","Fredric March"
"169",1931,"ACTRESS","False","Marie Dressler"
"170",1931,"ACTRESS","False","Lynn Fontanne"
"171",1931,"ACTRESS","True","Helen Hayes"
"172",1931,"ART DIRECTION","False","À Nous la Liberté"
"173",1931,"ART DIRECTION","False","Arrowsmith"
"174",1931,"ART DIRECTION","True","Transatlantic"
"175",1931,"CINEMATOGRAPHY","False","Arrowsmith"
"176",1931,"CINEMATOGRAPHY","False","Dr. Jekyll and Mr. Hyde"
"177",1931,"CINEMATOGRAPHY","True","Shanghai Express"
"178",1931,"DIRECTING","True","Bad Girl"
"179",1931,"DIRECTING","False","The Champ"
"180",1931,"DIRECTING","False","Shanghai Express"
"181",1931,"OUTSTANDING PRODUCTION","False","Arrowsmith"
"182",1931,"OUTSTANDING PRODUCTION","False","Bad Girl"
"183",1931,"OUTSTANDING PRODUCTION","False","The Champ"
"184",1931,"OUTSTANDING PRODUCTION","False","Five Star Final"
"185",1931,"OUTSTANDING PRODUCTION","True","Grand Hotel"
"186",1931,"OUTSTANDING PRODUCTION","False","One Hour with You"
"187",1931,"OUTSTANDING PRODUCTION","False","Shanghai Express"
"188",1931,"OUTSTANDING PRODUCTION","False","The Smiling Lieutenant"
"189",1931,"SHORT SUBJECT (Cartoon)","True","Flowers and Trees"
"190",1931,"SHORT SUBJECT (Cartoon)","False","It's Got Me Again"
"191",1931,"SHORT SUBJECT (Cartoon)","False","Mickey's Orphans"
"192",1931,"SHORT SUBJECT (Comedy)","False","The Loud Mouth"
"193",1931,"SHORT SUBJECT (Comedy)","True","The Music Box"
"194",1931,"SHORT SUBJECT (Comedy)","False","Scratch-As-Catch-Can"
"195",1931,"SHORT SUBJECT (Comedy)","False","Stout Hearts and Willing Hands"
"196",1931,"SHORT SUBJECT (Novelty)","False","Screen Souvenirs"
"197",1931,"SHORT SUBJECT (Novelty)","False","Swing High"
"198",1931,"SHORT SUBJECT (Novelty)","True","Wrestling Swordfish"
"199",1931,"SOUND RECORDING","False","Metro-Goldwyn-Mayer Studio Sound Department"
"200",1931,"SOUND RECORDING","True","Paramount Publix Studio Sound Department"
"201",1931,"SOUND RECORDING","False","RKO Radio Studio Sound Department"
"202",1931,"SOUND RECORDING","False","Warner Bros.-First National Studio Sound Department"
"203",1931,"WRITING (Adaptation)","False","Arrowsmith"
"204",1931,"WRITING (Adaptation)","True","Bad Girl"
"205",1931,"WRITING (Adaptation)","False","Dr. Jekyll and Mr. Hyde"
"206",1931,"WRITING (Original Story)","True","The Champ"
"207",1931,"WRITING (Original Story)","False","Lady and Gent"
"208",1931,"WRITING (Original Story)","False","The Star Witness"
"209",1931,"WRITING (Original Story)","False","What Price Hollywood?"
"210",1931,"SPECIAL AWARD","True","To Walt Disney for the creation of ""Mickey Mouse."""
"211",1931,"SCIENTIFIC OR TECHNICAL AWARD (Class II)","True","To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process."
"212",1931,"SCIENTIFIC OR TECHNICAL AWARD (Class III)","True","To EASTMAN KODAK COMPANY for its Type II-B Sensitometer."
"213",1932,"ACTOR","False","Leslie Howard"
"214",1932,"ACTOR","True","Charles Laughton"
"215",1932,"ACTOR","False","Paul Muni"
"216",1932,"ACTRESS","True","Katharine Hepburn"
"217",1932,"ACTRESS","False","May Robson"
"218",1932,"ACTRESS","False","Diana Wynyard"
"219",1932,"ART DIRECTION","True","Cavalcade"
"220",1932,"ART DIRECTION","False","A Farewell to Arms"
"221",1932,"ART DIRECTION","False","When Ladies Meet"
"222",1932,"ASSISTANT DIRECTOR","False","Percy Ikerd (Fox)"
"223",1932,"ASSISTANT DIRECTOR","True","William Tummel (Fox)"
"224",1932,"ASSISTANT DIRECTOR","True","Charles Dorian (Metro-Goldwyn-Mayer)"
"225",1932,"ASSISTANT DIRECTOR","False","Bunny Dull (Metro-Goldwyn-Mayer)"
"226",1932,"ASSISTANT DIRECTOR","False","John S. Waters (Metro-Goldwyn-Mayer)"
"227",1932,"ASSISTANT DIRECTOR","True","Charles Barton (Paramount)"
"228",1932,"ASSISTANT DIRECTOR","False","Sidney S. Brod (Paramount)"
"229",1932,"ASSISTANT DIRECTOR","False","Arthur Jacobson (Paramount)"
"230",1932,"ASSISTANT DIRECTOR","False","Eddie Killey (RKO Radio)"
"231",1932,"ASSISTANT DIRECTOR","True","Dewey Starkey (RKO Radio)"
"232",1932,"ASSISTANT DIRECTOR","True","Fred Fox (United Artists)"
"233",1932,"ASSISTANT DIRECTOR","False","Benjamin Silvey (United Artists)"
"234",1932,"ASSISTANT DIRECTOR","True","Scott Beal (Universal)"
"235",1932,"ASSISTANT DIRECTOR","False","Joe McDonough (Universal)"
"236",1932,"ASSISTANT DIRECTOR","False","W. J. Reiter (Universal)"
"237",1932,"ASSISTANT DIRECTOR","False","Al Alborn (Warner Bros.)"
"238",1932,"ASSISTANT DIRECTOR","True","Gordon Hollingshead (Warner Bros.)"
"239",1932,"ASSISTANT DIRECTOR","False","Frank X. Shaw (Warner Bros.)"
"240",1932,"CINEMATOGRAPHY","True","A Farewell to Arms"
"241",1932,"CINEMATOGRAPHY","False","Reunion in Vienna"
"242",1932,"CINEMATOGRAPHY","False","The Sign of the Cross"
"243",1932,"DIRECTING","True","Cavalcade"
"244",1932,"DIRECTING","False","Lady for a Day"
"245",1932,"DIRECTING","False","Little Women"
"246",1932,"OUTSTANDING PRODUCTION","True","Cavalcade"
"247",1932,"OUTSTANDING PRODUCTION","False","A Farewell to Arms"
"248",1932,"OUTSTANDING PRODUCTION","False","42nd Street"
"249",1932,"OUTSTANDING PRODUCTION","False","I Am a Fugitive from a Chain Gang"
"250",1932,"OUTSTANDING PRODUCTION","False","Lady for a Day"
"251",1932,"OUTSTANDING PRODUCTION","False","Little Women"
"252",1932,"OUTSTANDING PRODUCTION","False","The Private Life of Henry VIII"
"253",1932,"OUTSTANDING PRODUCTION","False","She Done Him Wrong"
"254",1932,"OUTSTANDING PRODUCTION","False","Smilin' Through"
"255",1932,"OUTSTANDING PRODUCTION","False","State Fair"
"256",1932,"SHORT SUBJECT (Cartoon)","False","Building a Building"
"257",1932,"SHORT SUBJECT (Cartoon)","False","The Merry Old Soul"
"258",1932,"SHORT SUBJECT (Cartoon)","True","The Three Little Pigs"
"259",1932,"SHORT SUBJECT (Comedy)","False","Mister Mugg"
"260",1932,"SHORT SUBJECT (Comedy)","False","A Preferred List"
"261",1932,"SHORT SUBJECT (Comedy)","True","So This Is Harris"
"262",1932,"SHORT SUBJECT (Novelty)","True","Krakatoa"
"263",1932,"SHORT SUBJECT (Novelty)","False","Menu"
"264",1932,"SHORT SUBJECT (Novelty)","False","The Sea"
"265",1932,"SOUND RECORDING","True","A Farewell to Arms"
"266",1932,"SOUND RECORDING","False","42nd Street"
"267",1932,"SOUND RECORDING","False","Gold Diggers of 1933"
"268",1932,"SOUND RECORDING","False","I Am a Fugitive from a Chain Gang"
"269",1932,"WRITING (Adaptation)","False","Lady for a Day"
"270",1932,"WRITING (Adaptation)","True","Little Women"
"271",1932,"WRITING (Adaptation)","False","State Fair"
"272",1932,"WRITING (Original Story)","True","One Way Passage"
"273",1932,"WRITING (Original Story)","False","The Prizefighter and the Lady"
"274",1932,"WRITING (Original Story)","False","Rasputin and the Empress"
"275",1932,"SCIENTIFIC OR TECHNICAL AWARD (Class II)","True","To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reporducing system."
"276",1932,"SCIENTIFIC OR TECHNICAL AWARD (Class II)","True","To RCA-VICTOR COMPANY, INC. for their high-fidelity recording and reproducing system."
"277",1932,"SCIENTIFIC OR TECHNICAL AWARD (Class III)","True","To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography."
"278",1934,"ACTOR","True","Clark Gable"
"279",1934,"ACTOR","False","Frank Morgan"
"280",1934,"ACTOR","False","William Powell"
"281",1934,"ACTRESS","True","Claudette Colbert"
"282",1934,"ACTRESS","False","Bette Davis"
"283",1934,"ACTRESS","False","Grace Moore"
"284",1934,"ACTRESS","False","Norma Shearer"
"285",1934,"ART DIRECTION","False","The Affairs of Cellini"
"286",1934,"ART DIRECTION","False","The Gay Divorcee"
"287",1934,"ART DIRECTION","True","The Merry Widow"
"288",1934,"ASSISTANT DIRECTOR","False","Cleopatra"
"289",1934,"ASSISTANT DIRECTOR","False","Imitation of Life"
"290",1934,"ASSISTANT DIRECTOR","True","Viva Villa!"
"291",1934,"CINEMATOGRAPHY","False","The Affairs of Cellini"
"292",1934,"CINEMATOGRAPHY","True","Cleopatra"
"293",1934,"CINEMATOGRAPHY","False","Operator 13"
"294",1934,"DIRECTING","True","It Happened One Night"
"295",1934,"DIRECTING","False","One Night of Love"
"296",1934,"DIRECTING","False","The Thin Man"
"297",1934,"FILM EDITING","False","Cleopatra"
"298",1934,"FILM EDITING","True","Eskimo"
"299",1934,"FILM EDITING","False","One Night of Love"
"300",1934,"MUSIC (Scoring)","False","The Gay Divorcee"
"301",1934,"MUSIC (Scoring)","False","The Lost Patrol"
"302",1934,"MUSIC (Scoring)","True","One Night of Love"
"303",1934,"MUSIC (Song)","False","Flying Down to Rio"
"304",1934,"MUSIC (Song)","True","The Gay Divorcee"
"305",1934,"MUSIC (Song)","False","She Loves Me Not"
"306",1934,"OUTSTANDING PRODUCTION","False","The Barretts of Wimpole Street"
"307",1934,"OUTSTANDING PRODUCTION","False","Cleopatra"
"308",1934,"OUTSTANDING PRODUCTION","False","Flirtation Walk"
"309",1934,"OUTSTANDING PRODUCTION","False","The Gay Divorcee"
"310",1934,"OUTSTANDING PRODUCTION","False","Here Comes the Navy"
"311",1934,"OUTSTANDING PRODUCTION","False","The House of Rothschild"
"312",1934,"OUTSTANDING PRODUCTION","False","Imitation of Life"
"313",1934,"OUTSTANDING PRODUCTION","True","It Happened One Night"
"314",1934,"OUTSTANDING PRODUCTION","False","One Night of Love"
"315",1934,"OUTSTANDING PRODUCTION","False","The Thin Man"
"316",1934,"OUTSTANDING PRODUCTION","False","Viva Villa!"
"317",1934,"OUTSTANDING PRODUCTION","False","The White Parade"
"318",1934,"SHORT SUBJECT (Cartoon)","False","Holiday Land"
"319",1934,"SHORT SUBJECT (Cartoon)","False","Jolly Little Elves"
"320",1934,"SHORT SUBJECT (Cartoon)","True","The Tortoise and the Hare"
"321",1934,"SHORT SUBJECT (Comedy)","True","La Cucaracha"
"322",1934,"SHORT SUBJECT (Comedy)","False","Men in Black"
"323",1934,"SHORT SUBJECT (Comedy)","False","What, No Men!"
"324",1934,"SHORT SUBJECT (Novelty)","False","Bosom Friends"
"325",1934,"SHORT SUBJECT (Novelty)","True","City of Wax"
"326",1934,"SHORT SUBJECT (Novelty)","False","Strikes and Spares"
"327",1934,"SOUND RECORDING","False","The Affairs of Cellini"
"328",1934,"SOUND RECORDING","False","Cleopatra"
"329",1934,"SOUND RECORDING","False","Flirtation Walk"
"330",1934,"SOUND RECORDING","False","The Gay Divorcee"
"331",1934,"SOUND RECORDING","False","Imitation of Life"
"332",1934,"SOUND RECORDING","True","One Night of Love"
"333",1934,"SOUND RECORDING","False","Viva Villa!"
"334",1934,"SOUND RECORDING","False","The White Parade"
"335",1934,"WRITING (Adaptation)","True","It Happened One Night"
"336",1934,"WRITING (Adaptation)","False","The Thin Man"
"337",1934,"WRITING (Adaptation)","False","Viva Villa!"
"338",1934,"WRITING (Original Story)","False","Hide-Out"
"339",1934,"WRITING (Original Story)","True","Manhattan Melodrama"
"340",1934,"WRITING (Original Story)","False","The Richest Girl in the World"
"341",1934,"SPECIAL AWARD","True","To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934."
"342",1934,"SCIENTIFIC OR TECHNICAL AWARD (Class II)","True","To ELECTRICAL RESEARCH PRODUCTS, INC. for their development of the Vertical Cut Disc Method of recording sound for motion pictures (hill and dale recording)."
"343",1934,"SCIENTIFIC OR TECHNICAL AWARD (Class III)","True","To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture One Night of Love ."
"344",1934,"SCIENTIFIC OR TECHNICAL AWARD (Class III)","True","To BELL AND HOWELL COMPANY for their development of the Bell and Howell Fully Automatic Sound and Picture Printer."
"345",1935,"ACTOR","False","Clark Gable"
"346",1935,"ACTOR","False","Charles Laughton"
"347",1935,"ACTOR","True","Victor McLaglen"
"348",1935,"ACTOR","False","Paul Muni"
"349",1935,"ACTOR","False","Franchot Tone"
"350",1935,"ACTRESS","False","Elisabeth Bergner"
"351",1935,"ACTRESS","False","Claudette Colbert"
"352",1935,"ACTRESS","True","Bette Davis"
"353",1935,"ACTRESS","False","Katharine Hepburn"
"354",1935,"ACTRESS","False","Miriam Hopkins"
"355",1935,"ACTRESS","False","Merle Oberon"
"356",1935,"ART DIRECTION","True","The Dark Angel"
"357",1935,"ART DIRECTION","False","The Lives of a Bengal Lancer"
"358",1935,"ART DIRECTION","False","Top Hat"
"359",1935,"ASSISTANT DIRECTOR","False","David Copperfield"
"360",1935,"ASSISTANT DIRECTOR","False","Les Miserables"
"361",1935,"ASSISTANT DIRECTOR","True","The Lives of a Bengal Lancer"
"362",1935,"ASSISTANT DIRECTOR","False","A Midsummer Night's Dream"
"363",1935,"CINEMATOGRAPHY","False","Barbary Coast"
"364",1935,"CINEMATOGRAPHY","False","The Crusades"
"365",1935,"CINEMATOGRAPHY","False","Les Miserables"
"366",1935,"CINEMATOGRAPHY","True","A Midsummer Night's Dream"
"367",1935,"DANCE DIRECTION","False","Busby Berkeley"
"368",1935,"DANCE DIRECTION","False","Bobby Connolly"
"369",1935,"DANCE DIRECTION","True","Dave Gould"
"370",1935,"DANCE DIRECTION","False","Sammy Lee"
"371",1935,"DANCE DIRECTION","False","Hermes Pan"
"372",1935,"DANCE DIRECTION","False","LeRoy Prinz"
"373",1935,"DANCE DIRECTION","False","Benjamin Zemach"
"374",1935,"DIRECTING","False","Captain Blood"
"375",1935,"DIRECTING","True","The Informer"
"376",1935,"DIRECTING","False","The Lives of a Bengal Lancer"
"377",1935,"DIRECTING","False","Mutiny on the Bounty"
"378",1935,"FILM EDITING","False","David Copperfield"
"379",1935,"FILM EDITING","False","The Informer"
"380",1935,"FILM EDITING","False","Les Miserables"
"381",1935,"FILM EDITING","False","The Lives of a Bengal Lancer"
"382",1935,"FILM EDITING","True","A Midsummer Night's Dream"
"383",1935,"FILM EDITING","False","Mutiny on the Bounty"
"384",1935,"MUSIC (Scoring)","False","Captain Blood"
"385",1935,"MUSIC (Scoring)","True","The Informer"
"386",1935,"MUSIC (Scoring)","False","Mutiny on the Bounty"
"387",1935,"MUSIC (Scoring)","False","Peter Ibbetson"
"388",1935,"MUSIC (Song)","False","Top Hat"
"389",1935,"MUSIC (Song)","False","Roberta"
"390",1935,"MUSIC (Song)","True","Gold Diggers of 1935"
"391",1935,"OUTSTANDING PRODUCTION","False","Alice Adams"
"392",1935,"OUTSTANDING PRODUCTION","False","Broadway Melody of 1936"
"393",1935,"OUTSTANDING PRODUCTION","False","Captain Blood"
"394",1935,"OUTSTANDING PRODUCTION","False","David Copperfield"
"395",1935,"OUTSTANDING PRODUCTION","False","The Informer"
"396",1935,"OUTSTANDING PRODUCTION","False","Les Miserables"
"397",1935,"OUTSTANDING PRODUCTION","False","The Lives of a Bengal Lancer"
"398",1935,"OUTSTANDING PRODUCTION","False","A Midsummer Night's Dream"
"399",1935,"OUTSTANDING PRODUCTION","True","Mutiny on the Bounty"
"400",1935,"OUTSTANDING PRODUCTION","False","Naughty Marietta"
"401",1935,"OUTSTANDING PRODUCTION","False","Ruggles of Red Gap"
"402",1935,"OUTSTANDING PRODUCTION","False","Top Hat"
"403",1935,"SHORT SUBJECT (Cartoon)","False","The Calico Dragon"
"404",1935,"SHORT SUBJECT (Cartoon)","True","Three Orphan Kittens"
"405",1935,"SHORT SUBJECT (Cartoon)","False","Who Killed Cock Robin?"
"406",1935,"SHORT SUBJECT (Comedy)","True","How to Sleep"
"407",1935,"SHORT SUBJECT (Comedy)","False","Oh, My Nerves"
"408",1935,"SHORT SUBJECT (Comedy)","False","Tit for Tat"
"409",1935,"SHORT SUBJECT (Novelty)","False","Audioscopiks"
"410",1935,"SHORT SUBJECT (Novelty)","False","Camera Thrills"
"411",1935,"SHORT SUBJECT (Novelty)","True","Wings over Mt. Everest"
"412",1935,"SOUND RECORDING","False","Bride of Frankenstein"
"413",1935,"SOUND RECORDING","False","Captain Blood"
"414",1935,"SOUND RECORDING","False","The Dark Angel"
"415",1935,"SOUND RECORDING","False","I Dream Too Much"
"416",1935,"SOUND RECORDING","False","The Lives of a Bengal Lancer"
"417",1935,"SOUND RECORDING","False","Love Me Forever"
"418",1935,"SOUND RECORDING","True","Naughty Marietta"
"419",1935,"SOUND RECORDING","False","$1,000 a Minute"
"420",1935,"SOUND RECORDING","False","Thanks a Million"
"421",1935,"WRITING (Original Story)","False","Broadway Melody of 1936"
"422",1935,"WRITING (Original Story)","False","G-Men"
"423",1935,"WRITING (Original Story)","False","The Gay Deception"
"424",1935,"WRITING (Original Story)","True","The Scoundrel"
"425",1935,"WRITING (Screenplay)","False","Captain Blood"
"426",1935,"WRITING (Screenplay)","True","The Informer"
"427",1935,"WRITING (Screenplay)","False","The Lives of a Bengal Lancer"
"428",1935,"WRITING (Screenplay)","False","Mutiny on the Bounty"
"429",1935,"SPECIAL AWARD","True","To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts."
